Length,Width,Height
97.76,49.64,19.97
99,52.93,21.45
95.38,52.72,19.26
103,49.71,20.83
100.24,47.84,20.93
103.85,48.97,19.7
99.53,51.06,21.78
100.73,50.92,21.98
94.91,49.01,18.9
101.22,52.38,19.78
94.31,52.03,21.61
95.58,51.24,19.19
101.33,47.25,20.03
97.82,50.47,21.11
98.24,51.31,20.53
102.02,50.95,20.51
97.19,52.38,21.57
99.95,49.34,21.07
99.56,52.01,19.99
94.17,49.14,20.49
98.47,47.8,18.63
98.89,50.86,18.57
100.91,48.95,21.83
100.89,51.61,21.98
102.8,52.86,21.01
96.7,50.13,20.8
101.55,50.1,19.32
95.21,47.73,19.48
103.04,52.37,19.67
98.37,49.48,21.91
102.53,47.28,18.71
98.44,48.09,21.9
97.86,50.95,19.79
97.23,48.26,19.03
98.63,48.07,21.43
103.63,47.38,20.95
95.15,49.76,20.61
103.92,48.21,20.77
97.79,51.3,19.52
97.67,48.38,21.38
94.96,48.16,21.59
97.31,49.88,20.69
94.18,47.52,21.99
96.23,48.45,19.72
99.35,49.1,21.75
100.28,52.13,20.23
100.41,48.01,21.78
95.57,47.72,20.9
95.78,52,20.71
99.27,49.93,19.08
98.21,49.17,19.69
103.14,50.57,20.48
100.54,52.62,20.48
100.99,52.57,20.14
97.02,49.76,20.5
99.68,48.56,20.37
97.82,50.35,20.99
94.5,47.27,21.67
100.48,47.29,20.19
101.91,48.95,21.59
97.98,49.88,21.29
102.08,49.65,21.85
98.59,47.47,21.15
97.67,48.32,21.39
101.72,48.51,21.31
100.46,51.29,18.95
99.35,49.99,19.09
103.06,52.5,20.34
95.1,47.96,21.76
96.77,48.25,21.41
97.01,47.74,19.53
99.03,51.86,21.3
100.96,49.96,21.41
96.68,51.03,20.1
101.24,48.17,19.97
102.68,51.46,18.66
97.56,52.62,21.96
96.82,49.89,21.86
101.04,48.38,21.4
103.53,51.61,21.81
94.32,51.79,19.57
96.49,47.98,21.76
95.2,50.05,21.47
97.56,51.52,19.02
94.02,47.94,19.87
96.84,50.75,21.89
96.02,50.02,20.36
94.52,49.67,18.74
98.55,47.74,20.47
100.97,48.89,21.39
94.43,50.34,18.78
95.24,49.29,21.59
103.15,48.27,21.64
97.48,49.7,20.48
98.08,49.88,21.85
95.1,50.13,20.79
97.04,52.02,20.61
98.09,51.36,21.55
99.59,52.98,19.15
98.96,47.19,21.27
94.86,50.35,20.83
97.31,49.79,19.12
94.31,48.61,18.86
98.86,47.13,20.48
97.96,49.39,20.06
101.82,48.38,21.31
101.79,52.42,21.9
100.34,49.95,19.03
102.77,51.9,19.97
94.37,52.11,22
101.34,51.17,18.68
96.54,51.81,20.01
97.52,48.34,20.82
94.5,47.65,20.28
102.3,48.76,21.02
94.47,49,19.49
100.56,51.73,20.92
95.07,50.03,19.25
97.07,50.99,18.99
96.78,47.26,20.36
94.99,51.47,21.04
97.88,51.02,21.97
101.61,52.76,18.9
98.04,48.91,20.22
100.28,48.93,21.43
102.52,47.28,18.6
96.37,52.25,19.7
98.19,51.7,20.26
102.67,47.83,21.38
101.4,49.13,20.47
97.56,51.89,19.11
97.59,49.8,19.02
102.93,48.29,18.98
100.91,52.57,20.08
101.55,49.28,19.83
101.13,49.18,19.74
96.11,52.46,21.38
103.2,50.98,20.78
100.44,52.45,19.72
99.14,51.04,21.36
98.34,49.03,19.3
101.24,51.5,20.96
98.37,52.12,19.68
94.16,48.39,21.6
102.35,51.24,21.47
